"name","type","location"
"5b1d3932444a4d998260a05cff3a3dae","microsoft.compute/virtualmachines","centralus"
"5b1d3932444a4d998260a05cff3a3dae-containerRootVolume","microsoft.compute/disks","centralus"
"5b1d3932444a4d998260a05cff3a3dae-osDisk","microsoft.compute/disks","centralus"
"5b1d3932444a4d998260a05cff3a3dae-privateNIC","microsoft.network/networkinterfaces","centralus"
"5b1d3932444a4d998260a05cff3a3dae-publicNIC","microsoft.network/networkinterfaces","centralus"
"61fe0ee5031f4c20b98a6150c5613d1d","microsoft.compute/virtualmachines","centralus"
"61fe0ee5031f4c20b98a6150c5613d1d-containerRootVolume","microsoft.compute/disks","centralus"
"61fe0ee5031f4c20b98a6150c5613d1d-osDisk","microsoft.compute/disks","centralus"
"61fe0ee5031f4c20b98a6150c5613d1d-privateNIC","microsoft.network/networkinterfaces","centralus"
"61fe0ee5031f4c20b98a6150c5613d1d-publicNIC","microsoft.network/networkinterfaces","centralus"
"624d44dd-b0b5-479a-8492-c40024130545","microsoft.portal/dashboards","eastus2"
"62cf7c5ae130458092fb023c8888c591","microsoft.compute/virtualmachines","centralus"
"62cf7c5ae130458092fb023c8888c591-containerRootVolume","microsoft.compute/disks","centralus"
"62cf7c5ae130458092fb023c8888c591-osDisk","microsoft.compute/disks","centralus"
"62cf7c5ae130458092fb023c8888c591-privateNIC","microsoft.network/networkinterfaces","centralus"
"62cf7c5ae130458092fb023c8888c591-publicNIC","microsoft.network/networkinterfaces","centralus"
"65d6ff7c8f3740d18b4d5dc00fe8c375","microsoft.compute/virtualmachines","centralus"
"65d6ff7c8f3740d18b4d5dc00fe8c375-containerRootVolume","microsoft.compute/disks","centralus"
"65d6ff7c8f3740d18b4d5dc00fe8c375-osDisk","microsoft.compute/disks","centralus"
"65d6ff7c8f3740d18b4d5dc00fe8c375-privateNIC","microsoft.network/networkinterfaces","centralus"
"65d6ff7c8f3740d18b4d5dc00fe8c375-publicNIC","microsoft.network/networkinterfaces","centralus"
"65fd6f35-57da-4b7f-aa3b-a577ac0a321e-dashboard","microsoft.portal/dashboards","eastus"
"69141954196a42c8b75c2129ef00132f","microsoft.compute/virtualmachines","centralus"
"69141954196a42c8b75c2129ef00132f-containerRootVolume","microsoft.compute/disks","centralus"
"69141954196a42c8b75c2129ef00132f-osDisk","microsoft.compute/disks","centralus"
"69141954196a42c8b75c2129ef00132f-privateNIC","microsoft.network/networkinterfaces","centralus"
"69141954196a42c8b75c2129ef00132f-publicNIC","microsoft.network/networkinterfaces","centralus"
